timestamp,robot_id,move_x,move_y,move_w,actuation_kick_strength,actuation_front,actuation_chip,actuation_charge,actuation_dribbler,actuation_dribbler_velocity
3522.098194688,1,0.4575238298389297,-0.3560138102425945,2.751915271973258,0.0,False,False,False,False,0.0
3522.106845952,6,0.22502973747481717,-0.5323141626374168,2.5941493090492025,0.0,False,False,False,False,0.0
3522.111721216,8,0.5440958518529557,0.32369615621499426,4.318765651768289,0.0,False,False,False,False,0.0
3522.112249344,3,-0.6912380600110781,-0.6905817002711667,5.8892203213959915,0.0,False,False,False,False,0.0
3522.113806592,0,0.5714900320405434,-0.08236949710838065,4.210818523011394,6.5,False,True,False,False,0.0
3522.115723776,5,0.07920711165976317,0.5677214584439969,3.1031427483248204,0.0,False,False,False,False,0.0
3522.120900608,1,0.537049507441884,0.21544080934321888,2.831674491419647,0.0,False,False,False,False,0.0
3522.123429888,3,-0.6903219953140252,-0.6850088067120277,5.887468206003683,0.0,False,False,False,False,0.0
3522.12347008,6,0.2796947019903445,-0.5065737392168447,2.5338590444906917,0.0,False,False,False,False,0.0
3522.127228672,8,0.6589208819446828,0.36462347904613973,4.376034110529553,0.0,False,False,False,False,0.0
3522.1288448,4,0.9165330896862508,0.39995886727284224,3.6294175746481785,0.0,False,False,False,False,0.0
3522.138251264,6,0.2493075215071502,-0.5229757832015167,2.4405244399334114,0.0,False,False,False,False,0.0
3522.140926976,1,-0.18485198038272077,0.5026125066559922,2.965534852696402,0.0,False,False,False,False,0.0
3522.141533952,3,-0.8587333458138651,-0.4599398050804856,5.472335849370967,0.0,False,False,False,False,0.0
3522.146265856,0,0.5715264965151504,-0.08522620957714638,4.242019801659127,6.5,False,True,False,False,0.0
3522.1472256,5,-0.35281803972802184,0.4561530345514825,3.118149514399363,0.0,False,False,False,False,0.0
3522.153561856,1,-0.49170346408975496,0.4375757993597231,3.015279154446926,0.0,False,False,False,False,0.0
3522.154404864,6,0.25148118007680953,-0.5211315817323772,2.4356624824642044,0.0,False,False,False,False,0.0
3522.155453696,3,-0.20817809175460641,-0.10374410709852411,5.241119946584632,0.0,False,False,False,False,0.0
3522.160294912,8,0.8403766486976832,0.20108876471883824,4.509043051538313,0.0,False,False,False,False,0.0
3522.168259072,1,-0.2331244762427308,0.5273834304014969,3.061229636254303,0.0,False,False,False,False,0.0
3522.170260736,3,0.002100975905652329,-0.21590360835663708,5.054897948499003,0.0,False,False,False,False,0.0
3522.170426112,6,0.24752315917383397,-0.5239535839203127,2.428082930772787,0.0,False,False,False,False,0.0
3522.173028864,0,0.5730747176615755,-0.08238458941491326,4.254622389345037,6.5,False,True,False,False,0.0
3522.178299648,5,-0.14293887480304007,0.5599783546989161,3.094579000634679,0.0,False,False,False,False,0.0
3522.180128,1,0.5275351157850642,-0.23732860548054274,3.1048413221455804,0.0,False,False,False,False,0.0
3522.185049088,4,0.9646649406070267,0.26347970009782845,3.309481101636764,0.0,False,False,False,False,0.0
3522.187633152,6,0.2508147214523968,-0.5232955856862248,2.444043715401764,0.0,False,False,False,False,0.0
3522.189389312,8,0.727808808803696,0.5241466975818121,4.595592044719553,0.0,False,False,False,False,0.0
