timestamp,game_state_name
1170.260681728,DirectAlly
1170.284925952,DirectAlly
1170.311172352,DirectAlly
1170.339885568,DirectAlly
1170.361531136,DirectAlly
1170.39109248,DirectAlly
1170.412865792,DirectAlly
1170.4410944,DirectAlly
1170.465650176,DirectAlly
1170.490793216,DirectAlly
1170.492058112,DirectAlly
1170.521144064,DirectAlly
1170.54645376,DirectAlly
1170.572047104,DirectAlly
1170.5958336,DirectAlly
1170.623346944,DirectAlly
1170.648264192,DirectAlly
1170.672155904,DirectAlly
1170.679726848,DirectAlly
1170.699402752,DirectAlly
1170.729234432,DirectAlly
1170.778861568,DirectAlly
1170.801816576,DirectAlly
1170.829777152,DirectAlly
1170.854146304,DirectAlly
1170.88065792,DirectAlly
1170.8916224,DirectAlly
1170.906875904,DirectAlly
1170.931098624,DirectAlly
1170.959129088,DirectAlly
1170.984415488,DirectAlly
1171.01110784,DirectAlly
1171.037421056,DirectAlly
1171.062650368,GameRunning
1171.087497728,GameRunning
1171.115439872,GameRunning
1171.144505088,GameRunning
1171.168086016,GameRunning
1171.194596096,GameRunning
1171.216011008,GameRunning
1171.217233408,GameRunning
1171.241890304,GameRunning
1171.26723584,GameRunning
1171.296887552,GameRunning
1171.317889024,GameRunning
1171.346424064,GameRunning
1171.371030528,GameRunning
1171.397821952,GameRunning
1171.434690816,GameRunning
1171.451317248,GameRunning
1171.473084416,GameRunning
1171.476173312,GameRunning
1171.5051072,GameRunning
1171.529349376,GameRunning
1171.55189888,GameRunning
1171.576807168,GameRunning
1171.603130368,GameRunning
1171.628640512,GameRunning
1171.654444032,GameRunning
1171.687241472,GameRunning
1171.705968128,GameRunning
1171.73079424,GameRunning
1171.75622144,GameRunning
1171.78310656,GameRunning
1171.81022848,GameRunning
1171.833684992,GameRunning
1171.859502336,GameRunning
1171.884894464,GameRunning
1171.913269248,GameRunning
1171.93810432,GameRunning
1171.966317312,GameRunning
1171.988747264,GameRunning
1172.01803392,GameRunning
1172.041284096,GameRunning
1172.066616832,GameRunning
1172.100574208,GameRunning
1172.119057152,GameRunning
1172.145051392,GameRunning
1172.167947264,GameRunning
1172.195783424,GameRunning
1172.219782912,GameRunning
1172.255011328,GameRunning
1172.275264512,GameRunning
1172.302432768,GameRunning
1172.32287616,GameRunning
1172.356777216,GameRunning
1172.373627392,GameRunning
1172.404596992,GameRunning
1172.428522752,GameRunning
1172.453181184,GameRunning
1172.478747392,GameRunning
1172.503182592,GameRunning
1172.50355968,GameRunning
1172.532798464,GameRunning
1172.55587072,GameRunning
1172.58170624,GameRunning
1172.585840128,GameRunning
1172.609844736,GameRunning
1172.614838528,GameRunning
1172.635193344,GameRunning
1172.660733696,GameRunning
1172.687968512,GameRunning
1172.712711424,GameRunning
1172.741560064,GameRunning
1172.767484416,GameRunning
1172.793463552,GameRunning
1172.794105344,GameRunning
1172.816286464,GameRunning
1172.849422848,GameRunning
1172.868155648,GameRunning
1172.896102656,GameRunning
1172.921312256,GameRunning
1172.945867776,GameRunning
1172.973238784,GameRunning
1172.998722304,GameRunning
