timestamp,position_x,position_y,velocity_x,velocity_y,acceleration_x,acceleration_y,velocity_norm,acceleration_norm
239.493190144,-5749.988279844657,-2144.8857424322464,0.0,0.0,0.0,0.0,0.0,0.0
239.5077952,-5749.276365382913,-2144.473389321444,0.0,0.0,0.0,0.0,0.0,0.0
239.522378496,-5749.0727516993975,-2144.1428228889754,0.0,0.0,0.0,0.0,0.0,0.0
239.536614912,-5748.79784877389,-2143.993897146745,0.0,0.0,0.0,0.0,0.0,0.0
239.550324736,-5748.79784802503,-2143.9938972007744,0.0,0.0,0.0,0.0,0.0,0.0
239.551508992,-5748.633297447487,-2144.3566900476358,0.0,0.0,0.0,0.0,0.0,0.0
239.565168128,-5748.633297082998,-2144.356690239473,0.0,0.0,0.0,0.0,0.0,0.0
239.580080896,-5744.643552251922,-2145.8835456474844,0.0,0.0,0.0,0.0,0.0,0.0
239.593341184,-5744.6577116310245,-2147.443603633071,0.0,0.0,0.0,0.0,0.0,0.0
239.60806016,-5744.601071006708,-2147.333496781782,0.0,0.0,0.0,0.0,0.0,0.0
239.62180864,-5744.601070599534,-2147.333496761949,0.0,0.0,0.0,0.0,0.0,0.0
239.623488,-5742.953122080733,-2148.5170900947564,0.0,0.0,0.0,0.0,0.0,0.0
239.637003776,-5742.328122450499,-2148.9257816612567,0.0,0.0,0.0,0.0,0.0,0.0
239.651315968,-5742.0996068184295,-2150.587890583451,0.0,0.0,0.0,0.0,0.0,0.0
239.665203712,-5741.426267654551,-2151.5407716328614,0.0,0.0,0.0,0.0,0.0,0.0
239.67858432,-5741.4262678218165,-2151.5407718789593,0.0,0.0,0.0,0.0,0.0,0.0
239.693244672,-5740.531248693498,-2151.885742443734,0.0,0.0,0.0,0.0,0.0,0.0
239.707750912,-5740.516112191063,-2152.149170093663,0.0,0.0,0.0,0.0,0.0,0.0
239.71783296,-5739.922850784045,-2153.1120604615976,0.0,0.0,0.0,0.0,0.0,0.0
239.721860864,-5739.922850946067,-2153.1120607028424,0.0,0.0,0.0,0.0,0.0,0.0
239.727044864,-5737.834961057533,-2152.5473636162897,0.0,0.0,0.0,0.0,0.0,0.0
239.73728128,-5738.037372542066,-2152.489245071179,-1.11540718119846,0.3202713091267111,-71.55549359459053,20.545901774461957,1.1604770102500228,74.4467779241743
239.750380032,-5738.204468555956,-2152.441266950039,-2.8665784664932636,0.8230847713268876,-77.81138152435416,22.342135268641726,2.982405177931581,80.95543282010719
239.751351808,-5737.620984355487,-2152.2667361495164,-2.446655362233839,1.6265157911177168,-28.39068993241581,106.48902188776816,2.93797142264912,110.20863422369476
239.765263104,-5737.051722828992,-2152.5514350035955,2.872141138662286,2.9087118409449486,441.2796387842664,116.19644408629368,4.087762137655473,456.32152395418717
239.779041792,-5736.605935151536,-2152.744361983899,7.373576297334391,0.05402783563551761,627.3325491506469,-79.08759752317798,7.3737742316696275,632.2981696208182
239.793213184,-5736.356703551058,-2152.7226825092007,11.165152317443816,-0.5337867538572607,752.0196638755333,-88.13208527769433,11.177904748668889,757.1663220923557
239.807537664,-5736.306145633562,-2153.1148685429907,11.862336711296805,-2.0162632975728023,643.1350488114111,-232.71740433293684,12.032470649759304,683.944501614799
239.822668288,-5736.062100023741,-2153.0420255661743,11.84116180259479,-4.34389071093153,531.1295815205538,-256.0712221306872,12.612791100456201,589.636416081726
239.836516352,-5735.89212133655,-2152.5937474698394,12.174235420545841,-1.9706427754998534,450.7188423000718,-83.88944089211378,12.33269804314947,458.4592818315586
239.850892544,-5735.763687393211,-2152.3287906442256,11.626580580084438,0.8988939312878748,316.9956940298783,278.7156065649334,11.66127721499248,422.1002953994974
239.865272064,-5735.589020203229,-2152.1508203075764,11.322664680541312,3.5079346577785944,251.3336646252137,533.6910965468849,11.853621431074215,589.9108386081373
239.879126528,-5735.5499854898635,-2151.985756326752,10.737216866824006,4.8897803414241725,136.1082451304962,598.8605099765755,11.798210789462452,614.1330188175094
239.893751296,-5735.84878056537,-2152.1050574412297,8.812090706028659,5.780211009343297,-93.5206311604378,522.6634676554252,10.53868027429479,530.9644139433831
239.907535616,-5736.104562293642,-2152.319115791915,4.708209422388205,3.5197324761267224,-387.90779447280846,233.99578531277777,5.878414128705652,453.0192982168665
239.922859008,-5736.118075927059,-2152.1789800239185,2.2672078576668313,2.437753157457517,-399.3660942158831,163.2006789395763,3.3290947608261794,431.425241282413
