timestamp,position_x,position_y
4344.963105792,-6004.81640625,1041.0185546875
4344.978431744,-6004.90966796875,1041.0159912109375
4344.99328896,-6005.7001953125,1040.557373046875
4345.006889216,-6005.4189453125,1039.76318359375
4345.02094592,-6005.34619140625,1039.5220947265625
4345.035067136,-6005.40478515625,1038.8516845703125
4345.049047296,-6006.62841796875,1035.856201171875
4345.063130368,-6004.94873046875,1033.0533447265625
4345.078646016,-6005.80615234375,1031.418212890625
4345.092104448,-6006.8642578125,1027.6761474609375
4345.1351296,-6010.041015625,1047.61181640625
4345.163087616,-6010.8916015625,1044.515625
4345.178006528,-6009.3798828125,1041.336669921875
4345.192167424,-6010.37548828125,1040.3072509765625
4345.206891264,-6007.89453125,1041.1634521484375
4345.221431552,-6008.46337890625,1033.9876708984375
4345.250853888,-6012.09619140625,1027.8121337890625
4345.263580416,-6010.953125,1027.0272216796875
4345.278567168,-6011.611328125,1027.1112060546875
4345.292520192,-6009.81689453125,1026.633056640625
4345.307894272,-6010.79638671875,1022.8297119140625
4345.32120832,-6009.71923828125,1021.6102905273438
4345.335263744,-6009.01025390625,1022.3250732421875
4345.349261312,-6009.76416015625,1020.4086303710938
4345.363068928,-6009.4052734375,1019.7296142578125
4345.378088448,-6007.87890625,1021.4697265625
4345.392532224,-6008.07470703125,1023.37841796875
4345.40697088,-6008.591796875,1023.0709228515625
4345.421549312,-6008.15576171875,1024.5560302734375
4345.435348992,-6008.52880859375,1024.1142578125
4345.449934848,-6007.6826171875,1024.8507080078125
4345.463503872,-6008.95166015625,1026.073974609375
4345.47796992,-6009.47021484375,1025.015625
4345.492534016,-6011.77587890625,1022.0335083007812
4345.507226112,-6011.6044921875,1018.6471557617188
4345.52037888,-6013.5751953125,1015.0523681640625
4345.534648064,-6014.6533203125,1013.4956665039062
4345.54928384,-6017.15869140625,1008.2484130859375
4345.563081984,-6017.2314453125,1006.5281372070312
4345.578106368,-6018.291015625,1004.541748046875
4345.592491008,-6017.63037109375,1009.545166015625
4345.607262208,-6015.55712890625,1015.7291870117188
4345.620768512,-6013.916015625,1024.41357421875
4345.63480576,-6013.7265625,1036.210693359375
4345.663356416,-6009.59716796875,1059.5794677734375
4345.677969408,-6009.15771484375,1073.7647705078125
4345.692498176,-6007.16650390625,1092.4588623046875
4345.707185152,-6003.84521484375,1105.658935546875
4345.721056768,-6001.26513671875,1121.9617919921875
4345.735053056,-6001.4970703125,1138.979248046875
4345.749957376,-6001.125,1156.61083984375
4345.763570432,-6001.3818359375,1174.728759765625
4345.778340608,-6001.37255859375,1193.7298583984375
4345.792075776,-6001.30810546875,1212.694580078125
4345.806940672,-6000.63623046875,1233.2742919921875
4345.820619008,-6000.57421875,1253.4183349609375
4345.834889216,-5998.68505859375,1271.01611328125
4345.849389824,-5997.07373046875,1290.73974609375
4345.863600384,-5996.638671875,1312.2579345703125
4345.8779264,-5996.03125,1332.4879150390625
4345.893001984,-5996.24462890625,1353.4227294921875
4345.906729216,-5994.7001953125,1375.6201171875
4345.92116736,-5994.51904296875,1395.959716796875
4345.934995456,-5994.09228515625,1420.5887451171875
4345.949213184,-5993.2646484375,1441.923583984375
4345.963066112,-5991.7705078125,1465.8978271484375
4345.9777472,-5989.814453125,1490.851806640625
4345.992772096,-5988.0576171875,1516.000732421875
4346.006710784,-5985.4951171875,1540.5958251953125
4346.021240832,-5983.38916015625,1566.9696044921875
4346.03593344,-5982.02197265625,1592.652099609375
4346.049191936,-5980.15087890625,1621.41796875
4346.063552,-5977.544921875,1649.331298828125
4346.078650368,-5975.06201171875,1675.9947509765625
4346.091962624,-5974.359375,1705.4656982421875
4346.106822912,-5971.32080078125,1733.2080078125
4346.12119808,-5969.74609375,1762.9261474609375
4346.135239936,-5967.48974609375,1793.2052001953125
4346.14912768,-5966.85888671875,1823.394287109375
4346.163599104,-5965.18701171875,1854.23193359375
4346.178465792,-5962.7822265625,1883.866455078125
4346.191856384,-5960.55615234375,1914.7117919921875
4346.206861824,-5959.7509765625,1945.892333984375
4346.221309696,-5958.28662109375,1977.6251220703125
4346.23522432,-5956.39111328125,2009.71533203125
4346.266924288,-5951.20849609375,2072.77392578125
4346.292169472,-5948.90869140625,2137.323974609375
4346.306728192,-5946.2666015625,2168.95947265625
4346.321123072,-5941.703125,2202.060546875
4346.334993408,-5940.9873046875,2235.06982421875
4346.349314304,-5941.8056640625,2268.870849609375
4346.36355456,-5938.6767578125,2301.861572265625
4346.378632448,-5935.5556640625,2333.09814453125
4346.39300096,-5930.64794921875,2365.548828125
4346.40794752,-5926.11328125,2398.45703125
4346.421627136,-5924.75146484375,2431.47607421875
4346.435384064,-5922.00341796875,2466.380859375
4346.44952576,-5918.10986328125,2498.567626953125
4346.463514624,-5913.7490234375,2532.1474609375
4346.478080256,-5907.18505859375,2564.821533203125
4346.492787712,-5903.90380859375,2599.5712890625
4346.506868992,-5900.0703125,2633.561279296875
4346.520958464,-5896.375,2667.3330078125
4346.534716928,-5891.5986328125,2700.721435546875
4346.548942848,-5886.06103515625,2732.005615234375
4346.563427072,-5882.52197265625,2767.69384765625
4346.578107648,-5878.56298828125,2801.898681640625
4346.592128,-5873.54248046875,2834.190185546875
4346.607134464,-5869.54736328125,2866.56787109375
4346.621152256,-5864.017578125,2895.013916015625
4346.635505408,-5859.66064453125,2925.063232421875
4346.649780224,-5854.41796875,2950.29248046875
4346.663919872,-5851.05712890625,2978.15673828125
4346.677893376,-5847.8466796875,3006.172607421875
4346.69280128,-5845.16455078125,3031.533203125
4346.70708992,-5842.57666015625,3059.91943359375
