timestamp,position_x,position_y
245.249105408,4922.7978515625,4158.78759765625
245.262610944,4925.28564453125,4161.427734375
245.279064832,4923.85791015625,4161.42333984375
245.294352384,4925.86474609375,4163.80224609375
245.306134272,4924.85009765625,4162.40087890625
245.320091136,4924.65380859375,4163.10888671875
245.334100736,4925.18603515625,4162.8447265625
245.349143808,4925.7529296875,4163.0947265625
245.364700416,4926.21435546875,4162.1162109375
245.377586432,4927.24951171875,4161.86669921875
245.405731328,4930.0322265625,4159.6396484375
245.421364992,4930.263671875,4158.53369140625
245.43511296,4934.84765625,4159.0732421875
245.450082816,4936.38330078125,4158.09619140625
245.462642432,4938.07666015625,4157.509765625
245.479194112,4937.73095703125,4153.5966796875
245.492088832,4939.3154296875,4152.00732421875
245.506258688,4943.30615234375,4151.81201171875
245.52036224,4942.88623046875,4150.3974609375
245.535332352,4944.2529296875,4146.7568359375
245.551047936,4945.33154296875,4144.52099609375
245.563908864,4947.5546875,4144.14404296875
245.5779136,4947.38037109375,4141.259765625
245.593019136,4951.03515625,4138.6171875
245.606363648,4953.13525390625,4136.07568359375
245.62104832,4953.1484375,4131.79736328125
245.636539648,4956.119140625,4131.66015625
245.649142016,4956.62841796875,4127.2529296875
245.663185408,4958.01318359375,4126.05126953125
245.677074432,4959.4365234375,4123.57861328125
245.692441088,4958.390625,4123.87890625
245.706750976,4959.296875,4120.66796875
245.720139776,4957.984375,4118.09326171875
245.73733888,4958.57080078125,4114.99658203125
245.749054464,4958.5517578125,4112.1279296875
245.763135744,4956.05712890625,4106.8798828125
245.778394368,4956.45361328125,4105.93017578125
245.80927744,4956.16015625,4099.27001953125
245.822086912,4954.990234375,4095.662353515625
245.834164992,4952.10498046875,4092.2568359375
245.84874624,4948.51708984375,4091.23779296875
245.8630016,4943.8095703125,4087.600341796875
245.877287936,4940.29345703125,4084.684814453125
245.892550912,4936.44873046875,4081.365478515625
245.906658048,4934.95068359375,4081.901123046875
245.920491264,4930.40771484375,4077.083251953125
245.935102976,4929.0458984375,4075.38671875
245.94897792,4906.38818359375,4030.15185546875
245.963236096,4874.70458984375,3969.98828125
245.977081088,4845.072265625,3912.2197265625
245.992185088,4814.04150390625,3849.83154296875
246.007176448,4782.24365234375,3788.2294921875
246.020825856,4750.1982421875,3724.728271484375
246.033788928,4721.30517578125,3668.371337890625
246.048752896,4694.08251953125,3615.935546875
246.064225792,4665.30517578125,3559.71826171875
246.077516032,4638.08642578125,3502.845703125
246.09238272,4607.978515625,3445.544921875
246.108227072,4584.04931640625,3396.7041015625
246.121837824,4557.67236328125,3344.543212890625
246.134606592,4527.95849609375,3293.193603515625
246.150894592,4502.65625,3239.046630859375
246.163790592,4479.68505859375,3190.3544921875
246.179884288,4455.41650390625,3141.809326171875
246.19444096,4429.3544921875,3092.6123046875
246.207229184,4405.115234375,3043.080078125
246.220003072,4382.4462890625,2997.775634765625
246.234101248,4361.70556640625,2954.29248046875
246.25120512,4337.2822265625,2907.829345703125
246.264711936,4315.29052734375,2862.7333984375
246.27810304,4293.607421875,2820.4541015625
246.292364544,4271.85888671875,2778.049072265625
246.321121536,4229.6689453125,2691.1279296875
246.3352384,4208.6708984375,2652.71728515625
246.348875776,4189.5341796875,2613.4296875
246.362887168,4168.69921875,2573.230712890625
246.378571776,4147.5166015625,2532.4501953125
246.3931136,4129.51513671875,2497.7060546875
246.4069952,4113.6650390625,2461.25537109375
246.421294592,4094.666748046875,2424.615234375
246.437128192,4074.24658203125,2386.91357421875
246.450635008,4056.464111328125,2349.46533203125
246.463711744,4038.27001953125,2316.132568359375
246.478285824,4021.479248046875,2281.566650390625
246.491218432,4006.6904296875,2246.8056640625
246.507227136,3986.73388671875,2209.757568359375
246.522144512,3968.408203125,2173.667236328125
246.533860864,3952.39990234375,2140.961669921875
246.551040512,3934.86962890625,2108.240966796875
246.56294528,3917.4931640625,2072.06494140625
246.581193984,3899.8388671875,2037.124267578125
246.592124672,3882.203125,2001.6456298828125
246.607140352,3864.57666015625,1967.1815185546875
246.623181568,3847.783203125,1933.3179931640625
246.634586112,3830.13916015625,1899.194580078125
246.652289536,3811.728759765625,1863.3624267578125
246.66392832,3795.32763671875,1829.4556884765625
246.678125568,3778.373779296875,1795.40576171875
246.691411712,3759.894775390625,1760.971923828125
246.707313664,3742.559326171875,1726.1573486328125
246.723676672,3727.326904296875,1693.4671630859375
246.73557632,3711.07763671875,1660.3485107421875
246.750943232,3692.76953125,1625.7032470703125
246.765115904,3674.030029296875,1591.84423828125
246.778610432,3658.66650390625,1559.544677734375
246.793239296,3641.795166015625,1525.228759765625
246.812622848,3622.72314453125,1490.0216064453125
246.821505536,3607.75830078125,1457.1483154296875
246.834817792,3591.75927734375,1423.9434814453125
246.850791936,3572.73828125,1389.6553955078125
246.864117504,3557.396728515625,1357.0745849609375
246.877215232,3540.5009765625,1323.133056640625
246.891708416,3525.021240234375,1289.0196533203125
246.907143168,3506.79833984375,1255.71240234375
246.922094336,3492.049072265625,1222.54833984375
246.935370752,3474.302978515625,1189.38037109375
246.951795968,3458.830810546875,1156.947998046875
246.966202624,3442.453857421875,1123.6005859375
246.977481472,3426.463623046875,1090.5283203125
246.993200896,3408.421142578125,1057.0166015625
247.007824128,3393.242431640625,1025.1502685546875
247.02324096,3377.17529296875,992.826904296875
247.038681344,3359.7880859375,959.2003173828125
247.049883136,3343.978515625,926.1428833007812
247.063382528,3328.058837890625,893.9017944335938
247.078474752,3311.126708984375,861.5840454101562
247.095795712,3294.47216796875,830.1278686523438
