timestamp,game_state_name
2255.03842432,GameRunning
2255.062252032,GameRunning
2255.086857984,GameRunning
2255.11261312,GameRunning
2255.138808576,GameRunning
2255.165489152,GameRunning
2255.190301184,GameRunning
2255.215937792,GameRunning
2255.247565056,GameRunning
2255.27187968,GameRunning
2255.297012224,GameRunning
2255.322796544,GameRunning
2255.347676416,GameRunning
2255.373683456,GameRunning
2255.399709696,GameRunning
2255.427751936,GameRunning
2255.45067008,GameRunning
2255.475837696,GameRunning
2255.504553216,GameRunning
2255.527849216,GameRunning
2255.553033728,GameRunning
2255.580233984,GameRunning
2255.605186048,GameRunning
2255.630598912,GameRunning
2255.656025856,GameRunning
2255.690261248,GameRunning
2255.710280192,GameRunning
2255.732892928,GameRunning
2255.76184448,GameRunning
2255.784609536,GameRunning
2255.785276672,GameRunning
2255.810678784,GameRunning
2255.837518592,GameRunning
2255.862027008,GameRunning
2255.88789504,GameRunning
2255.915074304,GameRunning
2255.940908288,GameRunning
2255.965664512,GameRunning
2255.991037184,GameRunning
2256.016696576,GameRunning
2256.0424384,GameRunning
2256.067931648,GameRunning
2256.093900288,GameRunning
2256.123068416,GameRunning
2256.13285888,GameRunning
2256.144307456,GameRunning
2256.14444544,GameRunning
2256.176185344,GameRunning
2256.195789824,GameRunning
2256.222623232,GameRunning
2256.247073792,GameRunning
2256.272586496,GameRunning
2256.298278912,GameRunning
2256.32393088,GameRunning
2256.349227776,GameRunning
2256.374981888,GameRunning
2256.402274304,GameRunning
2256.426255872,GameRunning
2256.453097216,GameRunning
2256.477988096,GameRunning
2256.503851776,GameRunning
2256.52949248,GameRunning
2256.554935552,GameRunning
2256.58060544,GameRunning
2256.605845504,GameRunning
2256.63166336,GameRunning
2256.661636608,GameRunning
2256.682797056,GameRunning
2256.711829248,GameRunning
2256.73378048,GameRunning
2256.759112704,GameRunning
2256.786198016,GameRunning
2256.810086144,GameRunning
2256.83690752,GameRunning
2256.861124864,GameRunning
2256.88702336,GameRunning
2256.91280128,GameRunning
2256.947351296,GameRunning
2256.963667456,GameRunning
2256.988775168,GameRunning
2257.015280128,GameRunning
2257.041623296,GameRunning
2257.066306048,GameRunning
2257.091985152,GameRunning
2257.117258496,GameRunning
2257.143142144,GameRunning
2257.147760896,GameRunning
2257.169149184,GameRunning
2257.195348736,GameRunning
2257.223378688,GameRunning
2257.24707968,GameRunning
2257.277143552,GameRunning
2257.298747136,GameRunning
2257.325133568,GameRunning
2257.35054976,GameRunning
2257.376574464,GameRunning
2257.402478336,GameRunning
2257.427489792,GameRunning
2257.45349248,GameRunning
2257.479286016,GameRunning
2257.5047168,GameRunning
2257.530576128,GameRunning
2257.556682752,GameRunning
2257.582514688,GameRunning
2257.608498176,GameRunning
2257.633417728,GameRunning
2257.658513664,GameRunning
2257.683693568,GameRunning
2257.70943872,GameRunning
2257.735073536,GameRunning
2257.761291008,GameRunning
2257.787460864,GameRunning
2257.812411392,GameRunning
2257.838597376,GameRunning
2257.864935936,GameRunning
2257.893724416,GameRunning
2257.91602304,GameRunning
2257.9425408,GameRunning
2257.969415424,GameRunning
2257.995256832,GameRunning
2258.019255552,GameRunning
2258.045380352,GameRunning
2258.071527936,GameRunning
2258.096361984,GameRunning
2258.122604544,GameRunning
2258.151382016,GameRunning
2258.173299968,GameRunning
2258.199617536,GameRunning
2258.225798912,GameRunning
2258.25185664,GameRunning
2258.27892096,GameRunning
2258.303092736,GameRunning
2258.330365184,GameRunning
2258.355772416,GameRunning
2258.382068224,GameRunning
2258.40853632,GameRunning
2258.43457024,GameRunning
2258.459137536,GameRunning
2258.484913408,GameRunning
2258.510458112,GameRunning
2258.538894848,GameRunning
2258.562089472,GameRunning
2258.588044288,GameRunning
2258.615431424,GameRunning
2258.639883264,GameRunning
2258.667218176,GameRunning
2258.693183232,GameRunning
2258.71813632,GameRunning
2258.746308608,GameRunning
2258.770089472,GameRunning
2258.796363264,GameRunning
2258.824277248,GameRunning
2258.847855872,GameRunning
2258.875186688,GameRunning
2258.901190912,GameRunning
2258.927230976,GameRunning
2258.951764992,GameRunning
2258.952595456,GameRunning
2258.976992768,GameRunning
2259.002621952,GameRunning
2259.02843776,GameRunning
2259.057035008,GameRunning
2259.080585216,GameRunning
2259.10694912,GameRunning
2259.131922432,GameRunning
2259.157567488,GameRunning
2259.18305664,GameRunning
2259.20880384,GameRunning
2259.23665536,GameRunning
2259.260824064,GameRunning
2259.28619776,GameRunning
2259.31478656,GameRunning
2259.33847168,GameRunning
2259.365460224,GameRunning
2259.389912064,GameRunning
2259.4160576,GameRunning
2259.441838336,GameRunning
2259.468329472,GameRunning
2259.49417728,GameRunning
2259.518826496,GameRunning
2259.545238272,GameRunning
2259.571471616,GameRunning
2259.596982528,GameRunning
2259.622940672,GameRunning
2259.64817536,GameRunning
2259.64844672,GameRunning
2259.67456896,GameRunning
2259.699458816,GameRunning
2259.726171136,GameRunning
2259.752187904,GameRunning
2259.776895744,GameRunning
2259.802518784,GameRunning
2259.827415296,GameRunning
2259.85428224,GameRunning
2259.883008,GameRunning
2259.905788672,GameRunning
2259.93116032,GameRunning
2259.957129728,GameRunning
2259.983756288,GameRunning
2260.011364608,GameRunning
2260.038225152,GameRunning
2260.062238208,GameRunning
2260.087208448,GameRunning
2260.11512832,GameRunning
2260.13892224,GameRunning
2260.16591104,GameRunning
2260.191145984,GameRunning
