timestamp,robot_id,move_x,move_y,move_w,actuation_kick_strength,actuation_front,actuation_chip,actuation_charge,actuation_dribbler,actuation_dribbler_velocity
2218.876148736,3,0.0,0.0,0.0,0.0,False,False,False,False,0.0
2218.876162048,5,0.0,0.0,0.0,0.0,False,False,False,False,0.0
2218.877924608,3,0.0,0.0,0.0,0.0,False,False,False,False,0.0
2218.877945344,5,0.0,0.0,0.0,0.0,False,False,False,False,0.0
2218.877998592,3,0.0,0.0,0.0,0.0,False,False,False,False,0.0
2218.878013696,5,0.0,0.0,0.0,0.0,False,False,False,False,0.0
2218.87886976,0,-0.06992708561426393,0.0031941661659036467,0.02438217578606796,6.5,False,True,False,False,0.0
2218.87897856,2,0.04465890722814341,-0.05390345077254407,-0.06661003516033616,0.0,False,False,False,False,0.0
2218.879087872,8,0.05770806339233493,-0.03962044193981502,0.12905594065311127,0.0,False,False,False,False,0.0
2218.880109312,1,1.0912925926829218,0.3474810714507518,0.348702124627881,0.0,False,False,True,False,0.0
2218.881324032,6,-0.5790953904228585,-0.07850103299738556,-4.4219164857503515,0.0,False,False,False,False,0.0
2218.882554624,7,0.5255956596037047,-0.2597443555748533,-0.14714101582401895,0.0,False,False,False,False,0.0
2218.890187008,3,0.0,0.0,0.0,0.0,False,False,False,False,0.0
2218.890222336,5,0.0,0.0,0.0,0.0,False,False,False,False,0.0
2218.890274304,5,0.0,0.0,0.0,0.0,False,False,False,False,0.0
2218.891481344,3,0.0,0.0,0.0,0.0,False,False,False,False,0.0
2218.891510784,5,0.0,0.0,0.0,0.0,False,False,False,False,0.0
2218.891548928,5,0.0,0.0,0.0,0.0,False,False,False,False,0.0
2218.892608256,0,-0.06975567109965615,0.005843487780135846,0.04736126408360484,6.5,False,True,False,False,0.0
2218.89295488,2,0.02407630972809152,-0.06572922721192609,-0.055643438763792116,0.0,False,False,False,False,0.0
2218.89306624,3,0.0,0.0,0.0,0.0,False,False,False,False,0.0
2218.893929216,8,0.056414977542767274,-0.041440925530797035,0.1445382429650568,0.0,False,False,False,False,0.0
2218.894178304,1,1.0812612962918682,0.38150701130464254,0.3863578998326031,0.0,False,False,True,False,0.0
2218.896027648,6,-0.5835990288260915,-0.04570377474151818,-4.396659890082424,0.0,False,False,False,False,0.0
2218.897574912,7,0.5355493925973899,-0.24181838547671397,-0.13994304824034456,0.0,False,False,False,False,0.0
2218.907032064,3,0.0,0.0,0.0,0.0,False,False,False,False,0.0
2218.90707712,5,0.0,0.0,0.0,0.0,False,False,False,False,0.0
2218.907537408,3,0.0,0.0,0.0,0.0,False,False,False,False,0.0
2218.907555328,5,0.0,0.0,0.0,0.0,False,False,False,False,0.0
2218.90801152,2,0.022358925420277235,-0.06633308717412813,-0.04774827557223915,0.0,False,False,False,False,0.0
2218.908258304,3,0.0,0.0,0.0,0.0,False,False,False,False,0.0
2218.908319232,5,0.0,0.0,0.0,0.0,False,False,False,False,0.0
2218.908343808,3,0.0,0.0,0.0,0.0,False,False,False,False,0.0
2218.908359168,5,0.0,0.0,0.0,0.0,False,False,False,False,0.0
2218.90930048,0,-0.06895175915930113,0.012068757551535074,0.07172727232166043,6.5,False,True,False,False,0.0
2218.91057408,8,0.052790356824711025,-0.04596931831471603,0.16181325356838946,0.0,False,False,False,False,0.0
2218.910656256,6,-0.5339295142181464,0.047497841248714694,-4.355753995163604,0.0,False,False,False,False,0.0
2218.912065536,1,1.0728563620070086,0.41359246986781195,0.4235788760869223,0.0,False,False,True,False,0.0
2218.912194048,2,0.022356728718325808,-0.06633382757700017,-0.04774827557223915,0.0,False,False,False,False,0.0
2218.912491776,7,0.5592488718523035,-0.182660262685065,-0.12968361575200618,0.0,False,False,False,False,0.0
2218.9190592,3,0.0,0.0,0.0,0.0,False,False,False,False,0.0
2218.919121408,5,0.0,0.0,0.0,0.0,False,False,False,False,0.0
2218.919142144,3,0.0,0.0,0.0,0.0,False,False,False,False,0.0
2218.919153152,5,0.0,0.0,0.0,0.0,False,False,False,False,0.0
2218.920557056,3,0.0,0.0,0.0,0.0,False,False,False,False,0.0
2218.920579328,5,0.0,0.0,0.0,0.0,False,False,False,False,0.0
2218.921254144,3,0.0,0.0,0.0,0.0,False,False,False,False,0.0
2218.921277952,5,0.0,0.0,0.0,0.0,False,False,False,False,0.0
2218.922398208,0,-0.06779341796339453,0.017437100700532098,0.08991675834152417,6.5,False,True,False,False,0.0
2218.923162368,2,0.021408776488378106,-0.06664581224106035,-0.04312058342520686,0.0,False,False,False,False,0.0
2218.923667456,8,0.05663297419986877,-0.04114251126604937,0.17123518491433387,0.0,False,False,False,False,0.0
2218.9237504,1,1.0695621216778641,0.4618506108011704,0.453934925156065,0.0,False,False,True,False,0.0
2218.92606208,6,-0.5667832876586317,-0.05459651816069719,-4.305720420662435,0.0,False,False,False,False,0.0
2218.927011584,7,0.5632110132038272,-0.17049641350939646,-0.12695814230300043,0.0,False,False,False,False,0.0
2218.932748032,3,0.0,0.0,0.0,0.0,False,False,False,False,0.0
2218.93278336,5,0.0,0.0,0.0,0.0,False,False,False,False,0.0
2218.932827392,3,0.0,0.0,0.0,0.0,False,False,False,False,0.0
2218.93284352,5,0.0,0.0,0.0,0.0,False,False,False,False,0.0
2218.935003392,3,0.0,0.0,0.0,0.0,False,False,False,False,0.0
2218.93500672,5,0.0,0.0,0.0,0.0,False,False,False,False,0.0
2218.936181504,0,-0.06689663672579445,0.02061164706609082,0.11028552074715474,6.5,False,True,False,False,0.0
2218.936271872,2,0.02036390144728359,-0.06697246835711912,-0.034730495106033744,0.0,False,False,False,False,0.0
2218.93714816,1,1.059417711715893,0.47602303029679344,0.4803886893065463,0.0,False,False,True,False,0.0
2218.940128,6,-0.5639218032597763,-0.12575553837737075,-4.239600277592615,0.0,False,False,False,False,0.0
2218.940238336,8,0.055450869443178646,-0.042722372101693495,0.18058702247346403,0.0,False,False,False,False,0.0
2218.940895744,7,0.5572693645856306,-0.15740694182469453,-0.12757685018635243,0.0,False,False,False,False,0.0
2218.94786944,3,0.0,0.0,0.0,0.0,False,False,False,False,0.0
2218.947892736,5,0.0,0.0,0.0,0.0,False,False,False,False,0.0
2218.947940608,3,0.0,0.0,0.0,0.0,False,False,False,False,0.0
2218.947952128,5,0.0,0.0,0.0,0.0,False,False,False,False,0.0
