kick_event,timestamp,timestamp_original,id_jogador_chutou,cor_jogador_chutou,id_goleiro,cor_goleiro,gol,ball_position_x,ball_position_y,ball_velocity_norm,ball_acceleration_norm,kicker_position_x,kicker_position_y,kicker_position_w,kicker_velocity_norm,goalkeeper_position_x,goalkeeper_position_y,goalkeeper_velocity_norm,num_blue_on_field,num_yellow_on_field,feat_dist_goal,feat_angle_goal,feat_visible_angle,feat_min_dist_opponent,feat_opponents_in_cone,feat_robot_orientation,feat_orientation_to_goal_diff
kickEvent21,4890.751274624,4890.751274624,3,blue,0,yellow,0,-612.1320275,-640.329,981.740339654933,183385.446675241,-409.4948725,-693.7625925,2.91047715,1582.12563578176,-5606.693,-85.85517,19.4938038011215,7,7,5425.78496784864,173.222390568694,341.28611721624,1296.77604368531,7,166.758057064264,6.4643335044299
kickEvent22,46.483731968,46.483731968,5,yellow,3,blue,0,-3333.4536,-243.82153,490.438792099206,29256.5303673433,-3349.3276,-332.4141,1.3807371,424.015730070785,-5881.3057,-42.23019,34.8115502648136,8,8,2677.67037587611,174.77556225996,322.958415323077,299.466090822207,8,79.1104084471327,95.6651538128269
kickEvent23,72.827215616,72.827215616,1,yellow,3,blue,1,-3616.0889,2409.5452,4434.95591434747,247461.500411686,-3149.3125,1627.3057,2.119935,354.443091802811,-5864.1035,336.60507,350.657907286989,8,8,3389.53392128568,-134.693600682061,21.8913785285813,1236.91485452835,1,121.463328342066,103.843070975872
kickEvent24,138.878711808,138.878711808,11,blue,0,yellow,0,-4.59992905,24.491497,5544.19109227521,222835.33918092,-96.714945,3903.0545,-0.599283935,1650.51135975481,5742.2876,6.500515,30.3674062914203,8,8,6004.6498766683,-0.233696107472754,17.0483797076357,725.949565844217,4,-34.3364402054924,34.1027440980196
kickEvent25,148.656675584,148.656675584,7,yellow,3,blue,0,-2945.069,-375.14322,1750.71806704811,90170.7198532386,-2997.849,-445.92252,0.93282485,426.094299817152,-5878.3955,0.021341873,76.5968560382685,8,8,3077.87846580611,172.999171166375,327.595494381799,654.787679703012,7,53.4469269299241,119.552244236451
kickEvent26,149.97208064,149.97208064,6,yellow,3,blue,0,-4310.5044,926.2301,4193.62071777987,288052.63307101,-4857.763,2783.3147,-1.5409186,765.104052519698,-5910.15,100.300415,221.865597080178,8,8,1926.7323583117,-151.267179171185,46.3377709285185,957.693649991922,1,-88.2881323532075,-62.9790468179771
kickEvent27,217.072146944,217.072146944,5,yellow,3,blue,1,-5069.714,-308.91147,2962.75883272595,37801.2452630624,-4917.7236,-2143.579,2.1040041,296.955242790981,-5905.2524,279.28522,798.390462836437,8,8,980.233818072791,161.63069832616,275.147923818954,1021.81200032174,0,120.550555008221,41.0801433179384
kickEvent28,866.137958144,866.137958144,10,yellow,3,blue,1,-3964.1091,1553.5305,1288.00907180367,90028.8366995638,-4035.555,1600.5922,-0.63170946,396.915274776133,-5343.8184,129.56944,1971.74318189129,7,8,2560.91951672306,-142.653776109776,32.5179130104224,501.191671654748,1,-36.1942859364883,-106.459490173287
kickEvent29,910.581370112,910.581370112,10,blue,0,yellow,0,106.428948,1974.0927,3841.27479882997,119917.884344455,-6.0150335,3942.88185,-0.76133734,348.21605435367,5642.688,198.46535,348.397089328009,7,8,6215.40197679649,-18.5186327593166,15.6682115873821,994.54278864941,3,-43.6214163677166,25.1027836084
kickEvent30,919.066861568,919.066861568,7,yellow,3,blue,0,-2725.4583,-1425.0472,2290.46402654917,104048.314808837,-2800.8064,-1465.2137,0.5590284,360.130954790461,-5870.5576,-97.55863,177.790821537832,7,8,3571.18787902103,156.481815247102,26.2667851845239,1384.67288017077,2,32.0299679479512,124.451847299151
kickEvent31,929.225097984,929.225097984,6,yellow,3,blue,1,-3711.5,-169.80534,755.793327067429,26869.1768566398,-3442.2222,-106.5744,-2.970089,1328.05852161707,-5881.3525,-39.243565,57.5496831405575,7,8,2294.79108057629,175.756463479088,317.24892629028,265.47778820822,4,-170.173564478231,-14.0699720426813
kickEvent32,1006.36881664,1006.36881664,5,yellow,3,blue,0,-4877.0615,639.00604,2559.33173429202,32292.8057683231,-5898.278,2009.5482,-1.2726111,213.812868018759,-5793.6777,1412.3821,1505.4659345247,7,8,1292.02151450304,-150.35804116171,293.032013654068,1199.28970156654,1,-72.9152449915012,-77.4427961702089
kickEvent33,1065.325848832,1065.325848832,2,yellow,3,blue,0,-4560.0127,-474.1493,4061.99440893976,229220.930661516,-4496.2075,-2123.0388,2.3017955,1708.37496431171,-5822.8057,-54.82265,997.044982458822,7,8,1516.04122069678,161.774668574272,299.865568074906,1197.2210372683,2,131.883167452205,29.8915011220668
kickEvent34,1112.441783552,1112.441783552,9,blue,0,yellow,0,-1591.7825,1007.98553,2946.07708039487,64316.7262310677,-2968.6965,502.76508,0.957396,1890.59780000112,5704.8774,73.115204,345.391366601154,7,8,7658.40690718348,-7.56311039339279,13.2926156953452,1283.73607619599,4,54.854750122707,-62.4178605160998
kickEvent35,1116.649531904,1116.649531904,8,blue,0,yellow,0,-161.6855,-480.1618,494.706433326774,24674.9218704969,-248.000305,-479.798835,-0.015291119,765.748102936645,5713.292,-27.61814,40.7688343720859,7,8,6180.36597258524,4.45588438438753,16.5232757208392,856.277115146246,3,-0.876116582732304,5.33200096711984
kickEvent36,1133.684497408,1133.684497408,7,yellow,3,blue,0,-2763.7034,-436.90204,2052.47998149171,78663.4543690252,-2673.0684,-380.5154,-2.7581048,2411.53340250911,-5879.2075,-71.555595,13.2825702214952,7,8,3265.65446361487,172.311517473014,329.411203724489,319.235054131606,6,-158.027764494774,-29.6607180322116
kickEvent37,1136.042338816,1136.042338816,10,blue,3,yellow,0,-2977.5295,449.7019,677.67770980269,17939.6425472122,-3182.1626,263.93646,0.04736297,748.442421054436,NaN,NaN,NaN,7,8,3055.74209026774,-171.5372617505,327.462774830106,377.491407499893,4,2.71369828620473,-174.250960036704
kickEvent38,1149.543122944,1149.543122944,10,yellow,3,blue,0,-2931.8523,-878.3641,2136.96814847702,124941.209754087,-2463.6023,-51.588905,-2.9006743,617.078887447091,-5886.928,-141.96918,156.338490241941,7,8,3191.4031085377,164.024386766775,329.498470347588,687.159916898541,6,-166.196395132064,-29.7792181011611
kickEvent39,1205.08576384,1205.08576384,6,yellow,3,blue,0,-4597.7173,1920.5865,2185.06708784229,64503.4247236488,-4699.583,1983.1006,-0.62056696,206.528275482731,-5305.2656,902.99854,1777.73496489426,6,7,2378.03475052438,-126.134397837015,27.5180087158799,509.091204437653,1,-35.5558677132638,-90.5785301237516
kickEvent40,1227.286044672,1227.286044672,6,yellow,3,blue,1,-5287.5635,518.12805,2535.69146758682,49083.6793595791,-4994.3726,2210.8694,-2.0588307,601.411943919201,-5711.5986,-140.79622,1181.3803437277,6,7,880.921360127595,-143.973025663659,268.482269985617,783.573199916283,1,-117.962309841965,-26.0107158216942
kickEvent41,1234.157549568,1234.157549568,2,yellow,3,blue,1,-4021.5903,394.96057,84110.0736185456,11434302.8847211,-4103.0073,411.2947,-0.07399326,279.858336715663,-4429.0347,242.1648,1520.61527634008,7,7,2017.44858494803,-168.710156676525,312.473029890369,119.614481886517,3,-4.23950151041417,-164.470655166111
kickEvent42,1431.474657792,1431.474657792,7,yellow,3,blue,1,-3436.0427,2224.3208,431.63026367278,25135.4763867758,-3514.4998,2196.1973,0.1965914,276.179298125213,-5693.9844,590.56555,463.835636264898,7,6,3394.33057575952,-139.057241584245,23.3091635864097,298.570412357437,1,11.2638575085682,-150.321099092814
kickEvent43,1528.033450752,1528.033450752,7,yellow,3,blue,0,-2013.3375,-144.0459,1775.28361071403,52287.9068737986,-1910.6708,-127.42512,-3.1120455,1862.0193048333,-5876.4243,14.81934,20.950481318629,7,6,3989.26398101367,177.930691810453,334.587687096986,1626.22733425507,6,-178.30707280268,-3.76223538686698
kickEvent44,1529.289694208,1529.289694208,1,yellow,3,blue,0,-3702.89,-110.88362,1709.07063026256,21165.1119966354,-3610.4907,-433.68057,-3.1142592,999.231356276996,-5882.4717,18.340427,157.793853755656,7,6,2299.78467019943,177.236424957296,317.288346974667,195.098930345434,6,-178.433908469788,-4.32966657291605
kickEvent45,1535.161465344,1535.161465344,1,yellow,3,blue,1,-3382.5757,170.32005,2702.12544575765,27785.0716767656,-3848.3013,1959.0182,-2.1069326,951.04825541793,-5872.549,-45.12576,147.092694238293,7,6,2622.9599473996,-176.27691955607,322.182017630755,1084.3555852171,4,-120.718345698525,-55.5585738575442
kickEvent46,1619.914608896,1619.914608896,1,yellow,3,blue,1,-5083.3877,307.82053,4262.03764972791,255493.655950754,-5051.1807,2391.9397,-1.9422296,967.011029671793,-5288.1724,-1329.8248,1551.26877034487,7,6,966.918604227249,-161.436706271784,274.33020776117,1288.32903127687,0,-111.281558925382,-50.1551473464017
kickEvent47,1797.507478528,1797.507478528,2,yellow,3,blue,1,-3927.5464,254.18396,2956.86462182546,57664.2554843794,-3234.5947,1811.0209,-2.6702466,887.115399217305,-5879.1973,-114.77741,594.89311548098,6,6,2087.98309611794,-173.007662773341,313.577807645611,1570.02007580213,2,-152.993860439158,-20.0138023341837
kickEvent48,128.232676352,128.232676352,2,blue,0,yellow,0,2195.4583,1003.9481,3682.10444528893,131897.607876447,2201.511,1129.1017,-1.5971489,106.575753215971,5601.7026,-78.819046,443.434628522056,8,8,3934.7743689483,-14.7823292574069,25.020202774159,1794.48749566058,2,-91.509891223962,76.7275619665551
kickEvent49,135.46228096,135.46228096,5,blue,0,yellow,1,4582.799,124.532875,3137.68674140996,27361.3250893156,4066.8657,-1410.6865,0.4535007,1341.51476395151,5719.9316,531.5335,914.668909281847,8,8,1422.66198070967,-5.02181961689221,64.5508752899595,1207.77483776288,1,25.9836761162285,-31.0054957331207
kickEvent50,204.16209536,204.16209536,6,blue,0,yellow,0,5050.4136,1153.4242,1834.35041193226,29403.7153525429,5899.2744,1966.472,-2.7882872,703.085846177481,5828.0435,883.2884,21.1957172199467,8,8,1494.02199321516,-50.5361948346053,50.2395214288704,823.214195586817,1,-159.75708863035,109.220893795744
kickEvent51,239.049003264,239.049003264,5,blue,0,yellow,0,5265.139,-1635.2825,1841.21993121827,47242.3053771368,5055.2524,-3240.144,1.2802005,605.879137209287,5779.626,-626.15607,68.2935278276292,8,8,1792.81051539956,65.8018683944901,28.8191465803072,489.454848978514,1,73.3500855805378,-7.54821718604761
kickEvent52,257.563195904,257.563195904,6,blue,0,yellow,0,2944.1243,1256.3551,1462.12674319987,105015.612542352,2982.946,1352.7455,-2.2020028,1276.18492430657,5600.0605,155.70877,36.16205635114,8,8,3304.05878143027,-22.3489206295886,28.5570148925508,614.727799592064,1,-126.16546691599,103.816546286401
kickEvent53,306.993013248,306.993013248,6,blue,0,yellow,0,3688.7852,2486.0088,7041.58885728336,217136.503538365,1841.7133,-742.59515,0.35629886,2979.167052934,5797.8213,715.6122,703.363852703409,8,8,3394.40033075306,-47.0867340847655,21.2246077048105,1170.73003879993,1,20.4144209233226,-67.5011550080881
kickEvent54,323.708109568,323.708109568,7,blue,0,yellow,0,2821.6997,-1259.47,6742.90719197714,427226.10003558,4465.9595,-3323.7915,1.1322594,2178.05222772106,5604.478,2.4443464,489.997886521268,7,8,3418.75086513775,21.6170142564464,27.741017955282,1293.77131311392,2,64.8736849340149,-43.2566706775685
kickEvent55,467.824005376,467.824005376,10,blue,0,yellow,0,2999.2449,-1031.6478,3540.83822625166,189710.879070558,2821.4475,747.9391,-1.4132339,746.631108980184,5615.233,-273.71368,47.5576507104892,7,7,3173.14171656749,18.9727682674364,30.2581730516557,798.052386860825,2,-80.9723379348134,99.9451062022498
kickEvent56,495.495945472,495.495945472,2,blue,0,yellow,0,4904.2236,2560.5356,1465.90706264065,48875.9289190786,4817.3115,2614.7349,-0.8185407,1326.29339332351,5802.5312,727.89764,232.590109407194,7,7,2785.15142813893,-66.8315875083013,15.850196698586,350.699015237083,1,-46.8989274696841,-19.9326600386172
kickEvent57,592.154306048,592.154306048,6,blue,0,yellow,1,4924.202,4169.2656,5685.57674779771,328988.30098798,3759.3188,1597.0187,1.137654,1332.00448934769,5827.3823,839.2149,62.8765348974631,7,7,4305.82361228922,-75.5315291754481,6.23298832162984,758.84805924196,4,65.1827727461762,-140.714301921624
kickEvent58,646.727742208,646.727742208,6,blue,0,yellow,1,4012.9043,2062.1973,752.393511652803,35401.8041076416,3968.2627,2145.463,-1.0661997,550.420666086758,4422.258,1591.9663,194.591806965684,7,7,2863.77496062204,-46.0625339846391,25.82338988006,98.8898821422089,2,-61.0887429281145,15.0262089434754
kickEvent59,713.913494016,713.913494016,6,blue,0,yellow,0,3966.4246,2302.004,3382.3910599175,259579.161902963,2468.2334,2265.1265,-0.1605943,940.752177593743,4617.226,1637.2245,208.94831928787,7,7,3071.58775285701,-48.5428297210278,22.9971203235683,335.769160216793,3,-9.2013756038578,-39.34145411717
kickEvent60,743.900419328,743.900419328,1,blue,0,yellow,0,2214.9507,-689.2691,550.392376896801,22833.897513682,2263.634,-609.1329,-2.1111646,285.853931378351,5608.8584,-148.32777,178.125731691149,7,7,3847.29646578546,10.3206462688215,25.9632211446631,1184.68783658083,1,-120.960821437425,131.281467706246
